minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,id,web_name,position,team_name,price_M
69,0,0,1,0,0,0,0,0,0,0,0,18,11.6,0.1,4.0,1.6,3,1,3,6,0,0.00,0.00,0.00,1.92,6,False,108,Ajer,DEF,Brentford,4.4
20,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.3,0.0,0.3,1,1,0,1,1,0.00,0.00,0.00,0.00,1,False,109,Henry,DEF,Brentford,4.3
90,0,0,1,0,0,0,0,0,0,0,0,27,10.8,1.8,0.0,1.3,3,7,2,5,1,0.00,0.02,0.02,1.92,6,False,110,Kayode,DEF,Brentford,4.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,111,Pinnock,DEF,Brentford,4.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,112,Roerslev,DEF,Brentford,4.5
90,0,0,1,0,0,0,0,0,0,0,0,25,16.8,0.5,17.0,3.4,7,6,0,7,1,0.10,0.01,0.11,1.92,6,False,113,Van den Berg,DEF,Brentford,4.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,114,Arthur,DEF,Brentford,3.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,115,Fredrick,DEF,Brentford,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,116,Hickey,DEF,Brentford,4.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,117,Ji-soo,DEF,Brentford,3.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,118,Meghoma,DEF,Brentford,4.0
76,0,0,0,1,0,0,0,1,0,0,0,-3,0.0,13.2,18.0,3.1,1,2,2,5,1,0.33,0.06,0.39,1.85,1,False,119,Mbeumo,MID,Man Utd,8.7
90,0,0,1,0,0,0,0,0,0,0,0,2,2.2,16.4,11.0,3.0,0,3,0,3,1,0.13,0.07,0.20,1.92,3,False,120,Schade,MID,Brentford,6.9
90,0,0,1,0,0,0,0,0,0,0,0,9,12.2,13.9,4.0,3.0,3,5,2,10,1,0.00,0.03,0.03,1.92,3,False,121,Damsgaard,MID,Brentford,5.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,122,Milambo,MID,Brentford,5.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,123,Carvalho,MID,Brentford,4.7
61,0,0,1,0,0,0,0,0,0,0,0,14,7.2,3.8,0.0,1.1,4,4,1,9,1,0.00,0.01,0.01,1.70,3,False,124,Henderson,MID,Brentford,5.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,125,Janelt,MID,Brentford,4.9
90,0,0,1,0,0,0,0,1,0,0,0,20,27.2,31.8,2.0,6.1,7,8,3,18,1,0.02,0.26,0.28,1.92,4,False,126,Jensen,MID,Brentford,4.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,127,Nunes,MID,Brentford,4.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,128,Onyeka,MID,Brentford,4.8
28,0,0,0,0,0,0,0,0,0,0,0,3,3.8,2.3,0.0,0.6,1,2,0,3,0,0.00,0.01,0.01,0.23,1,False,129,Yarmoliuk,MID,Brentford,5.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,130,Donovan,MID,Brentford,4.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,131,Konak,MID,Brentford,4.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,132,Maghoma,MID,Brentford,4.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,133,Peart-Harris,MID,Brentford,4.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,134,Trevitt,MID,Brentford,4.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,135,Wissa,FWD,Newcastle,7.3
90,0,0,1,0,0,0,0,0,0,0,0,11,9.0,15.3,2.0,2.6,2,5,1,8,1,0.00,0.04,0.04,1.92,2,False,136,Thiago,FWD,Brentford,7.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,137,Morgan,FWD,Brentford,4.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,138,Steele,GKP,Brighton,4.2
