id,web_name,first_name,second_name,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,form,selected_by_percent,transfers_in,transfers_out,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,price_M,position,pts_per_million,team_name,team_short
673,J.Palhinha,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,18,3,55,94,3.6,1774,3,3,4,32,6,0,11,398,2.8,0.8,369355,360830,1.33,0.55,1.88,29.02,495.0,115.6,170.0,78.3,d,Head injury - 75% chance of playing,75.0,5.5,MID,17.09090909090909,Spurs,TOT
717,Xavi,Xavi,Simons,18,3,65,63,2.7,1533,1,4,3,33,4,1,5,281,1.2,1.1,814500,740945,2.22,3.48,5.7,27.85,279.4,462.7,202.0,94.5,a,,100.0,6.5,MID,9.692307692307692,Spurs,TOT
726,Kolo Muani,Randal,Kolo Muani,18,4,69,37,1.8,1185,1,0,3,25,2,0,1,107,2.5,0.4,126572,115739,1.62,1.14,2.76,20.0,124.4,197.5,200.0,51.5,a,,100.0,6.9,FWD,5.36231884057971,Spurs,TOT
745,Byfield,Jun'ai,Byfield,18,2,40,1,1.0,1,0,0,0,0,0,0,0,3,0.0,0.0,2020,1959,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,a,,,4.0,DEF,0.25,Spurs,TOT
750,Rowswell,James,Rowswell,18,2,40,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1819,1574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.0,DEF,0.0,Spurs,TOT
751,Akhamrich,Yusuf,Akhamrich,18,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,675,626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Bristol Rovers on loan for the rest of the season.,0.0,4.5,MID,0.0,Spurs,TOT
790,Williams-Barnett,Lucá,Williams-Barnett,18,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,715,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.5,MID,0.0,Spurs,TOT
796,Gallagher,Conor,Gallagher,18,3,52,19,2.4,577,0,1,0,16,0,0,0,96,1.5,0.1,36369,22143,0.56,0.48,1.04,13.79,85.8,107.2,86.0,27.9,a,,,5.2,MID,3.6538461538461537,Spurs,TOT
804,Souza,João Victor,de Souza Menezes,18,2,40,2,0.7,87,0,0,0,2,1,0,0,-1,0.2,0.0,2044,792,0.0,0.03,0.03,2.05,8.6,31.6,8.0,4.8,a,,,4.0,DEF,0.5,Spurs,TOT
811,Kyerematen,Rio,Kyerematen,18,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,338,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.5,MID,0.0,Spurs,TOT
818,Wilson,James,Wilson,18,4,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2010,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.5,FWD,0.0,Spurs,TOT
326,Adama,Adama,Traoré Diarra,19,3,51,21,1.1,288,0,0,0,10,1,0,0,65,0.8,0.2,16530,36842,0.34,0.55,0.89,6.54,21.8,63.8,62.0,14.4,d,Knock - 75% chance of playing,75.0,5.1,MID,4.11764705882353,West Ham,WHU
